summaries|pros|cons|adviceMgmt|ratings
A Good and Caring Company|I've been working for Group Health Sales for a couple years and can't say that I've ever been happier with any other employer. It's a very caring organization from the top down. Even with the restructuring going due to the Kaiser Permanente acquisition, management old and new seem to have the employees best interests in mind. New opportunities and enhancements for members and employees seem to be on the horizon.|None substantial enough to write about.|Keep up the good work. Transparency about incoming changes is key.|5.0
Analyst|It is a good company to work for. Good work life balance. The diversity and integration culture is great in CA. Good fitness class onsite!!!!!|Not much diversity in GA. Look forward to improvements from that aspect. Office dressing code is quite formal. Regular Telecommuting schedule is generally not permitted.||4.0
The best of the best|Great compensation (one of the highest in the healthcare industry right now)Excellent benefits package for part-time and full-time employees (yes, they offer benefits to pt)Two weeks of paid time off per calendar yearTop notch medical staff and senior managementProvide low cost medical coverage regardless of income (even if the patient doesn't have insurance).|It's hard to get hired in here. And if you do, be prepare to undergo an extensive background check.|Dear Kaiser Permanente,You seriously need to expand more to the rest of the sates in the USA.|5.0
Manager|Excellent tools and resources availalbe|too hierachial at times|Ease up on the controls|5.0
Site Support Specialist|Benefits, reimbursement, bonus incentives, staff|none that I can think of||5.0
Management|They want to know your experiences with multi-tasking and multi management when interviewing. They present scenarios that are transferable and common; ideally seeking outputs. Compliance’s and how we assist members are very critical and overall impact. Leading organization for volunteer and being the face of community involvement|Managers in the call center are not equipped with with cell phones. This is a set back because managers spent excessive time reading emails and prioritizing them to daily deadlines.|If leadership wants managers to prioritize efficiently and effectively, provide them cell phones so that they sort and plan ahead before getting into the offices. Although we do have laptops to bring home, it’s not a realistic goal to read emails through vpn|5.0
Great place to work|Great benefits and good people to work with|Not a lot of room for growth||4.0
KP|The benefits are generous & extensive|The particular work environment is exhausting||4.0
Teleservices Rep|Great benefits! Pay is excellent starting pay. Management and company cares about your growth, they invest in training so yoy do well.|There needs to be Possibly more investment in their on call employees but there are no real cons besides the on call opportunity|Should give on call employees more work and better training|5.0
Pharmacy|Excellent benefits and a good company to work for.|there are no cons with this company.||5.0
